taxon_name,name_aligned,source,taxon_status,taxonomicSourceID,name_aligned_family,name_aligned_order
Maprounea obtusata,Maprounea obtusata,gbif,Accepted,GBIF:7394128,Euphorbiaceae,Malpighiales
Maxillaria dunstervillei,Maxillaria dunstervillei,col,Accepted,COL:3YGHR,Orchidaceae,Asparagales
Meliosma palustre,Meliosma palustre,gbif,Accepted,GBIF:3838396,Sabiaceae,Proteales
Leandra chaetodon,Miconia chaetodonta,col,Synonym,COL:6RGNR,Melastomataceae,Myrtales
Miconia caryophyllacea,Miconia caryophyllacea,col,Accepted,COL:42MWC,Melastomataceae,Myrtales
Miconia conocuatrecasii,Miconia conocuatrecasii,col,Accepted,COL:42N27,Melastomataceae,Myrtales
Miconia neoepiphytica,Miconia neoepiphytica,col,Accepted,COL:42NX7,Melastomataceae,Myrtales
Miconia theizans,Miconia theizans,col,Accepted,COL:42PMC,Melastomataceae,Myrtales
Miconia heliotropioides,Miconia heliotropioides,gbif,Accepted,GBIF:11127217,Melastomataceae,Myrtales
Miconia radulaefolia,Miconia radulifolia,gbif,Synonym,GBIF:3869359,Melastomataceae,Myrtales
Microgramma vaccinifolia,Microgramma vaccinifolia,col,Accepted,COL:42X7D,Polypodiaceae,Polypodiineae
Monotagma aurantiacum,Monotagma aurantiacum,gbif,Accepted,GBIF:8131944,Marantaceae,Zingiberales
Mouriri retentipetala,Mouriri retentipetala,col,Accepted,COL:44GPH,Melastomataceae,Myrtales
Moutabea arianiae,Moutabea arianiae,col,Accepted,COL:44GT3,Polygalaceae,Fabales
Musa paradisiaca,Musa paradisiaca,col,Accepted,COL:6RQNL,Musaceae,Zingiberales
Myrciaria vismeifolia,Myrciaria vismeifolia,col,Accepted,COL:4585C,Myrtaceae,Myrtales
Nectandra amazonicum,Nectandra amazonicum,gbif,Accepted,GBIF:7304436,Lauraceae,Laurales
Nectandra inundabilis,Nectandra inundabilis,gbif,Accepted,GBIF:7634478,Lauraceae,Laurales
Neea fillipes,Neea fillipes,gbif,Accepted,GBIF:7794338,Nyctaginaceae,Caryophyllales
Neea ramiflora,Neea ramiflora,gbif,Accepted,GBIF:7574761,Nyctaginaceae,Caryophyllales
Norantea goyazensis,Norantea goyazensis,gbif,Accepted,GBIF:7415898,Marcgraviaceae,Ericales
Odontadenia krukovii,Odontadenia krukovii,gbif,Accepted,GBIF:8410326,Apocynaceae,Gentianales
Olfersia macrostegia,Olfersia macrostegia,col,Accepted,COL:494RJ,Polypodiaceae,Polypodiineae
Olfersia ochropteroides,Olfersia ochropteroides,col,Accepted,COL:6SKLM,Polypodiaceae,Polypodiineae
Oplismenus burmannii,Oplismenus burmannii,itis,Accepted,ITIS:41966,Poaceae,Poales
Ouratea paraensis,Ouratea paraensis,col,Accepted,COL:4B97S,Ochnaceae,Malpighiales
Paepalanthus fasiculatus,Paepalanthus fasiculatus,gbif,Accepted,GBIF:7285915,Eriocaulaceae,Poales
Pagamea occulta,Pagamea occulta,gbif,Accepted,GBIF:7427234,Rubiaceae,Gentianales
Palicourea macarthurorum,Palicourea macarthurorum,gbif,Accepted,GBIF:2899240,Rubiaceae,Gentianales
Parinari rodolphii,Parinari rodolphii,col,Accepted,COL:4DMKG,Chrysobalanaceae,Malpighiales
Passiflora transversalis,Passiflora transversalis,col,Accepted,COL:4DYZV,Passifloraceae,Malpighiales
Peperomia macrostachya,Peperomia macrostachyos,gbif,Synonym,GBIF:7787466,Piperaceae,Piperales
Peperomia pereskiaefolia,Peperomia pereskiaefolia,gbif,Accepted,GBIF:7305438,Piperaceae,Piperales
Philodendron chinchamayense,Philodendron chinchamayense,col,Accepted,COL:4G7XG,Araceae,Alismatales
Philodendron apaporense,Philodendron apaporense,gbif,Accepted,GBIF:8197188,Araceae,Alismatales
Philodendron iquitoense,Philodendron iquitoense,gbif,Accepted,GBIF:8073944,Araceae,Alismatales
Philodendron vanninii,Philodendron vanninii,gbif,Accepted,GBIF:7665189,Araceae,Alismatales
Phoradendron tunaeforme,Phoradendron tunaeforme,col,Accepted,COL:4GR48,Santalaceae,Santalales
Phoradendron inaequalis,Phoradendron inaequalis,gbif,Accepted,GBIF:7908174,Santalaceae,Santalales
Phyllanthus vacciniifolius,Phyllanthus vacciniifolius,col,Accepted,COL:4H4QB,Phyllanthaceae,Malpighiales
Phyllanthus manusensis,Phyllanthus manusensis,gbif,Accepted,GBIF:8074431,Phyllanthaceae,Malpighiales
Phyllanthus racemigerus,Phyllanthus racemigerus,gbif,Accepted,GBIF:5382808,Phyllanthaceae,Malpighiales
Piper cyrtopodon,Piper cyrtopodon,col,Accepted,COL:4J3TH,Piperaceae,Piperales
Piper limai,Piper limai,col,Accepted,COL:4J4M9,Piperaceae,Piperales
Piper mourai,Piper mourai,col,Accepted,COL:4J4WV,Piperaceae,Piperales
Piranhea trifoliata,Piranhea trifoliata,gbif,Accepted,GBIF:3075266,Picrodendraceae,Malpighiales
Pouteria gongrijpii,Pouteria gongrijpii,col,Accepted,COL:4M7JX,Sapotaceae,Ericales
Psychotria rhombibractea,Psychotria rhombibractea,gbif,Accepted,GBIF:3849349,Rubiaceae,Gentianales
Pterolepis picorondonica,Pterolepis picorondonica,gbif,Accepted,GBIF:5938456,Melastomataceae,Myrtales
Rhodospatha rubropunctata,Rhodospatha rubropunctata,gbif,Accepted,GBIF:8311507,Araceae,Alismatales
Rudgea lanceaefolia,Rudgea lanceaefolia,gbif,Accepted,GBIF:3848269,Rubiaceae,Gentianales
Sauvagesia muriculata,Sauvagesia muriculata,col,Accepted,COL:8H4X8,Ochnaceae,Malpighiales
Sauvagesia ferrugenia,Sauvagesia ferrugenia,gbif,Accepted,GBIF:7721542,Ochnaceae,Malpighiales
Schistostemon densiflorum,Schistostemon densiflorum,col,Accepted,COL:4V9HM,Humiriaceae,Malpighiales
Schistostemon dichotomum,Schistostemon dichotomum,col,Accepted,COL:4V9HN,Humiriaceae,Malpighiales
Schistostemon macrophyllum,Schistostemon macrophyllum,col,Accepted,COL:4V9HQ,Humiriaceae,Malpighiales
Schistostemon oblongifolium,Schistostemon oblongifolium,col,Accepted,COL:4V9HR,Humiriaceae,Malpighiales
Schistostemon reticulatum,Schistostemon reticulatum,col,Accepted,COL:4V9HS,Humiriaceae,Malpighiales
Schistostemon retusum,Schistostemon retusum,col,Accepted,COL:4V9HT,Humiriaceae,Malpighiales
Scleronema spruceana,Scleronema spruceana,col,Accepted,COL:4VQ2T,Malvaceae,Malvales
Selaginella wolffii,Selaginella wolffii,col,Accepted,COL:4WCPL,Selaginellaceae,Selaginellales
Sicyos polyacanthus,Sicyos polyacanthus,gbif,Accepted,GBIF:8363047,Cucurbitaceae,Cucurbitales
Simaba arborea,Simaba arborea,gbif,Accepted,GBIF:11179208,Simaroubaceae,Sapindales
Spathiphyllum cannaefolium,Spathiphyllum cannifolium,gbif,Synonym,GBIF:2869701,Araceae,Alismatales
Spathiphyllum minor,Spathiphyllum minor,gbif,Accepted,GBIF:2869676,Araceae,Alismatales
Spathiphyllum multiovulatum,Spathiphyllum multiovulatum,gbif,Accepted,GBIF:8077615,Araceae,Alismatales
Steinchisma laxa,Steinchisma laxa,itis,Accepted,ITIS:785015,Poaceae,Poales
Stenocephalum tragiaefolium,Stenocephalum tragiaefolium,gbif,Accepted,GBIF:7813107,Asteraceae,Asterales
Sterculia chicomendesii,Sterculia chicomendesii,col,Accepted,COL:52DB2,Malvaceae,Malvales
Sterculia killipiana,Sterculia killipiana,col,Accepted,COL:52DFC,Malvaceae,Malvales
Tassadia berteriana,Tassadia berteriana,col,Accepted,COL:54YSQ,Apocynaceae,Gentianales
Tectaria antioquoiana,Tectaria antioquiana,gbif,Synonym,GBIF:7709531,Polypodiaceae,Polypodiineae
Terminalia amazonica,Terminalia amazonica,col,Accepted,COL:55FZ6,Combretaceae,Myrtales
Ternstroemia tepuiensis,Ternstroemia tepuiensis,col,Accepted,COL:55HH6,Pentaphylacaceae,Ericales
Theobroma bernouillii,Theobroma bernouillii,col,Accepted,COL:56BNB,Malvaceae,Malvales
Theobroma sylvestris,Theobroma sylvestris,col,Accepted,COL:56BPY,Malvaceae,Malvales
Trema integerrima,Trema integerrima,col,Accepted,COL:582YQ,Cannabaceae,Rosales
Trema micrantha,Trema micrantha,col,Accepted,COL:582Z4,Cannabaceae,Rosales
Cordia cylindrostachya,Varronia cylindrostachya,col,Synonym,COL:7FGWN,Boraginaceae,Boraginales
Virola marlenei,Virola marlenei,gbif,Accepted,GBIF:3743164,Myristicaceae,Magnoliales
Xylopia chivantinensis,Xylopia chivantinensis,gbif,Accepted,GBIF:8408447,Annonaceae,Magnoliales
Xylopia prancei,Xylopia prancei,gbif,Accepted,GBIF:7409542,Annonaceae,Magnoliales
Aphelandra acrensis,Aphelandra acrensis,wcvp,Accepted,2643434,Acanthaceae,Lamiales
Aphelandra aurantiaca,Aphelandra aurantiaca,wcvp,Accepted,2643454,Acanthaceae,Lamiales
Aphelandra caput-medusae,Aphelandra caput-medusae,wcvp,Accepted,2643471,Acanthaceae,Lamiales
Aphelandra glabrata,Aphelandra glabrata,wcvp,Accepted,2643539,Acanthaceae,Lamiales
Aphelandra hylaea,Aphelandra hylaea,wcvp,Accepted,2643566,Acanthaceae,Lamiales
Aphelandra macrostachya,Aphelandra macrostachya,wcvp,Accepted,2643614,Acanthaceae,Lamiales
Aphelandra pepe-parodii,Aphelandra pepe-parodii,wcvp,Accepted,2643662,Acanthaceae,Lamiales
Aphelandra pilosa,Aphelandra pilosa,wcvp,Accepted,2643670,Acanthaceae,Lamiales
Aphelandra pulcherrima,Aphelandra pulcherrima,wcvp,Accepted,2643679,Acanthaceae,Lamiales
Asystasia gangetica,Asystasia gangetica,wcvp,Accepted,2664335,Acanthaceae,Lamiales
Avicennia germinans,Avicennia germinans,wcvp,Accepted,18443,Acanthaceae,Lamiales
Avicennia schaueriana,Avicennia schaueriana,wcvp,Accepted,18479,Acanthaceae,Lamiales
Chaetothylax lythroides,Justicia lythroides,wcvp,Synonym,2330237,Acanthaceae,Lamiales
Crossandra nilotica,Crossandra nilotica,wcvp,Accepted,2743041,Acanthaceae,Lamiales
Dianthera appendiculata,Dianthera appendiculata,wcvp,Accepted,2763586,Acanthaceae,Lamiales
Dianthera calycina,Dianthera calycina,wcvp,Accepted,2763595,Acanthaceae,Lamiales
Dianthera comata,Dianthera comata,wcvp,Accepted,2763611,Acanthaceae,Lamiales
Dianthera laevilinguis,Dianthera laevilinguis,wcvp,Accepted,2763652,Acanthaceae,Lamiales
Dianthera pectoralis,Dianthera pectoralis,wcvp,Accepted,2763694,Acanthaceae,Lamiales
Fittonia albivenis,Fittonia albivenis,wcvp,Accepted,2813190,Acanthaceae,Lamiales
Graptophyllum pictum,Graptophyllum pictum,wcvp,Accepted,2831783,Acanthaceae,Lamiales
Hygrophila costata,Hygrophila costata,wcvp,Accepted,2856690,Acanthaceae,Lamiales
Justicia amazonica,Justicia amazonica,wcvp,Accepted,2330259,Acanthaceae,Lamiales
Justicia appendiculata,Dianthera appendiculata,wcvp,Synonym,2763586,Acanthaceae,Lamiales
Justicia boliviana,Justicia boliviana,wcvp,Accepted,2330387,Acanthaceae,Lamiales
Justicia brandegeeana,Justicia brandegeeana,wcvp,Accepted,2330307,Acanthaceae,Lamiales
Justicia brasiliana,Justicia brasiliana,wcvp,Accepted,2330309,Acanthaceae,Lamiales
Justicia carnea,Justicia carnea,wcvp,Accepted,2331183,Acanthaceae,Lamiales
Justicia chloanantha,Justicia chloanantha,wcvp,Accepted,2330825,Acanthaceae,Lamiales
Justicia cordata,Justicia cordata,wcvp,Accepted,2330750,Acanthaceae,Lamiales
Justicia ianthina,Justicia ianthina,wcvp,Accepted,2329408,Acanthaceae,Lamiales
Justicia obovata,Justicia obovata,wcvp,Accepted,2333122,Acanthaceae,Lamiales
Justicia oxypages,Justicia oxypages,wcvp,Accepted,2329070,Acanthaceae,Lamiales
Justicia pilosa,Justicia pilosa,wcvp,Accepted,2329273,Acanthaceae,Lamiales
Justicia poeppigiana,Justicia poeppigiana,wcvp,Accepted,2329328,Acanthaceae,Lamiales
Justicia pseudoamazonica,Justicia pseudoamazonica,wcvp,Accepted,2329939,Acanthaceae,Lamiales
Justicia pyrrhostachya,Justicia pyrrhostachya,wcvp,Accepted,2329976,Acanthaceae,Lamiales
Justicia ruiziana,Justicia ruiziana,wcvp,Accepted,2329886,Acanthaceae,Lamiales
Justicia scansilis,Justicia scansilis,wcvp,Accepted,2330115,Acanthaceae,Lamiales
Justicia schomburgkiana,Justicia schomburgkiana,wcvp,Accepted,2330125,Acanthaceae,Lamiales
Justicia secunda,Dianthera secunda,wcvp,Synonym,2763714,Acanthaceae,Lamiales
Justicia sprucei,Justicia sprucei,wcvp,Accepted,2330029,Acanthaceae,Lamiales
Justicia yhuensis,Justicia yhuensis,wcvp,Accepted,2331057,Acanthaceae,Lamiales
Justicia zarucchii,Justicia zarucchii,wcvp,Accepted,2331061,Acanthaceae,Lamiales
Lepidagathis alopecuroidea,Lepidagathis alopecuroidea,wcvp,Accepted,2342033,Acanthaceae,Lamiales
Lepidagathis ipariaensis,Lepidagathis ipariaensis,wcvp,Accepted,2604794,Acanthaceae,Lamiales
Megaskepasma erythrochlamys,Megaskepasma erythrochlamys,wcvp,Accepted,2362705,Acanthaceae,Lamiales
Mendoncia aspera,Mendoncia aspera,wcvp,Accepted,2362505,Acanthaceae,Lamiales
Mendoncia bivalvis,Mendoncia bivalvis,wcvp,Accepted,2362686,Acanthaceae,Lamiales
Mendoncia cardonae,Mendoncia cardonae,wcvp,Accepted,2362723,Acanthaceae,Lamiales
Mendoncia coccinea,Mendoncia coccinea,wcvp,Accepted,2362725,Acanthaceae,Lamiales
Mendoncia gigas,Mendoncia gigas,wcvp,Accepted,2362736,Acanthaceae,Lamiales
Mendoncia hoffmannseggiana,Mendoncia hoffmannseggiana,wcvp,Accepted,2362510,Acanthaceae,Lamiales
Mendoncia klugii,Mendoncia klugii,wcvp,Accepted,2362717,Acanthaceae,Lamiales
Mendoncia lindavii,Mendoncia lindavii,wcvp,Accepted,2362802,Acanthaceae,Lamiales
Mendoncia multiflora,Mendoncia multiflora,wcvp,Accepted,2362506,Acanthaceae,Lamiales
Mendoncia obovata,Mendoncia obovata,wcvp,Accepted,2362896,Acanthaceae,Lamiales
Mendoncia pedunculata,Mendoncia pedunculata,wcvp,Accepted,2362876,Acanthaceae,Lamiales
Mendoncia pilosa,Mendoncia pilosa,wcvp,Accepted,2362504,Acanthaceae,Lamiales
Mendoncia rizziniana,Mendoncia rizziniana,wcvp,Accepted,2362925,Acanthaceae,Lamiales
Mendoncia rotundifolia,Mendoncia rotundifolia,wcvp,Accepted,2362496,Acanthaceae,Lamiales
Mendoncia smithii,Mendoncia smithii,wcvp,Accepted,2362926,Acanthaceae,Lamiales
Mendoncia sprucei,Mendoncia sprucei,wcvp,Accepted,2362851,Acanthaceae,Lamiales
Mendoncia trichota,Mendoncia trichota,wcvp,Accepted,2362463,Acanthaceae,Lamiales
Nelsonia canescens,Nelsonia canescens,wcvp,Accepted,2380150,Acanthaceae,Lamiales
Odontonema liesneri,Odontonema liesneri,wcvp,Accepted,2391033,Acanthaceae,Lamiales
Odontonema speciosum,Odontonema speciosum,wcvp,Accepted,2391057,Acanthaceae,Lamiales
Odontonema tubaeforme,Odontonema tubaeforme,wcvp,Accepted,2401155,Acanthaceae,Lamiales
Pachystachys coccinea,Pachystachys coccinea,wcvp,Accepted,2404540,Acanthaceae,Lamiales
Pachystachys lutea,Pachystachys lutea,wcvp,Accepted,2406218,Acanthaceae,Lamiales
Pachystachys spicata,Pachystachys spicata,wcvp,Accepted,2406211,Acanthaceae,Lamiales
Pranceacanthus coccineus,Pranceacanthus coccineus,wcvp,Accepted,2406186,Acanthaceae,Lamiales
Pseuderanthemum maculatum,Pseuderanthemum maculatum,wcvp,Accepted,3010000,Acanthaceae,Lamiales
Pulchranthus adenostachyus,Pulchranthus adenostachyus,wcvp,Accepted,2405761,Acanthaceae,Lamiales
Pulchranthus congestus,Pulchranthus congestus,wcvp,Accepted,2405735,Acanthaceae,Lamiales
Pulchranthus variegatus,Pulchranthus variegatus,wcvp,Accepted,2405774,Acanthaceae,Lamiales
Ruellia brevifolia,Ruellia brevifolia,wcvp,Accepted,2421718,Acanthaceae,Lamiales
Ruellia chartacea,Ruellia chartacea,wcvp,Accepted,2421759,Acanthaceae,Lamiales
Ruellia elegans,Ruellia elegans,wcvp,Accepted,2421363,Acanthaceae,Lamiales
Ruellia glischrocalyx,Ruellia glischrocalyx,wcvp,Accepted,2421559,Acanthaceae,Lamiales
Ruellia inflata,Ruellia inflata,wcvp,Accepted,2420155,Acanthaceae,Lamiales
Ruellia menthoides,Ruellia menthoides,wcvp,Accepted,2420192,Acanthaceae,Lamiales
Ruellia phyllocalyx,Ruellia phyllocalyx,wcvp,Accepted,2420254,Acanthaceae,Lamiales
Ruellia proxima,Ruellia proxima,wcvp,Accepted,2419894,Acanthaceae,Lamiales
Ruellia simplex,Ruellia simplex,wcvp,Accepted,2420045,Acanthaceae,Lamiales
Ruellia sprucei,Ruellia sprucei,wcvp,Accepted,2419963,Acanthaceae,Lamiales
Ruellia tuberosa,Ruellia tuberosa,wcvp,Accepted,2420650,Acanthaceae,Lamiales
Ruellia tubiflora,Ruellia tubiflora,wcvp,Accepted,2420677,Acanthaceae,Lamiales
Sanchezia munita,Sanchezia munita,wcvp,Accepted,2477980,Acanthaceae,Lamiales
Sanchezia oblonga,Sanchezia oblonga,wcvp,Accepted,2477982,Acanthaceae,Lamiales
Sanchezia ovata,Sanchezia ovata,wcvp,Accepted,2477983,Acanthaceae,Lamiales
Sanchezia parviflora,Sanchezia parviflora,wcvp,Accepted,2477939,Acanthaceae,Lamiales
Sanchezia tigrina,Sanchezia tigrina,wcvp,Accepted,2477882,Acanthaceae,Lamiales
Staurogyne guianensis,Staurogyne guianensis,wcvp,Accepted,3003358,Acanthaceae,Lamiales
Staurogyne stolonifera,Staurogyne stolonifera,wcvp,Accepted,2478415,Acanthaceae,Lamiales
Stenandrium dulce,Stenandrium dulce,wcvp,Accepted,2478547,Acanthaceae,Lamiales
Stenandrium mandioccanum,Stenandrium mandioccanum,wcvp,Accepted,2478577,Acanthaceae,Lamiales
Stenandrium tenellum,Stenandrium tenellum,wcvp,Accepted,2478236,Acanthaceae,Lamiales
Stenostephanus longistaminus,Stenostephanus longistaminus,wcvp,Accepted,2478189,Acanthaceae,Lamiales
Streblacanthus cordatus,Pachystachys cordata,wcvp,Synonym,3010206,Acanthaceae,Lamiales
Strobilanthes brunelloides,Strobilanthes brunelloides,wcvp,Accepted,3003326,Acanthaceae,Lamiales
Strobilanthes cordifolia,Strobilanthes cordifolia,wcvp,Accepted,3003324,Acanthaceae,Lamiales
Suessenguthia trochilophila,Suessenguthia trochilophila,wcvp,Accepted,2477374,Acanthaceae,Lamiales
Thunbergia erecta,Thunbergia erecta,wcvp,Accepted,2436286,Acanthaceae,Lamiales
Thunbergia fragrans,Thunbergia fragrans,wcvp,Accepted,2436102,Acanthaceae,Lamiales
Thunbergia grandiflora,Thunbergia grandiflora,wcvp,Accepted,2436154,Acanthaceae,Lamiales
Trichanthera gigantea,Trichanthera gigantea,wcvp,Accepted,2436833,Acanthaceae,Lamiales
Carpotroche amazonica,Carpotroche amazonica,wcvp,Accepted,2924173,Achariaceae,Malpighiales
